2025-06-16 09:59:05.254 | INFO | whisper | [MainProcess-75894] | [MainThread-8551128832] | logger.py:95 | Process 75894 (worker-75894) logging to /Users/arstep/Desktop/forms/logs/unknown_app-worker-75894.current.log
2025-06-16 09:59:05.254 | WARNING | whisper | [MainProcess-75894] | [MainThread-8551128832] | logger.py:99 | APP_NAME environment variable not set. Using 'unknown_app' as fallback.
2025-06-16 09:59:05.255 | INFO | whisper | [MainProcess-75894] | [MainThread-8551128832] | speaker_diarizer.py:53 | Initializing SpeakerDiarizer with Resemblyzer
2025-06-16 09:59:05.255 | INFO | whisper | [MainProcess-75894] | [MainThread-8551128832] | speaker_diarizer.py:54 | Config: min_duration=1.0s, similarity=0.75, max_speakers=6, window=1.5s, hop=0.75s
2025-06-16 09:59:05.256 | INFO | whisper | [MainProcess-75894] | [MainThread-8551128832] | audio_chunker.py:34 | Initialized AudioChunker: max_size=24.0MB
2025-06-16 09:59:05.287 | INFO | whisper | [MainProcess-75894] | [MainThread-8551128832] | speaker_diarizer.py:79 | Starting Resemblyzer speaker diarization for: /var/folders/72/45lz0wwd4kxdwq5yc1m8r11h0000gn/T/tmpt85ba0sk.wav
2025-06-16 09:59:05.287 | INFO | whisper | [MainProcess-75894] | [MainThread-8551128832] | speaker_diarizer.py:60 | Loading Resemblyzer voice encoder...
2025-06-16 09:59:05.309 | INFO | whisper | [MainProcess-75894] | [MainThread-8551128832] | speaker_diarizer.py:63 | Resemblyzer voice encoder loaded successfully
2025-06-16 09:59:05.310 | INFO | whisper | [MainProcess-75894] | [MainThread-8551128832] | speaker_diarizer.py:87 | Audio duration: 5.00 seconds
2025-06-16 09:59:12.771 | INFO | whisper | [MainProcess-75894] | [MainThread-8551128832] | speaker_diarizer.py:97 | Preprocessed audio shape: (0,)
2025-06-16 09:59:12.771 | INFO | whisper | [MainProcess-75894] | [MainThread-8551128832] | speaker_diarizer.py:138 | Extracting embeddings with 1.5s windows, 0.75s hop
2025-06-16 09:59:12.771 | INFO | whisper | [MainProcess-75894] | [MainThread-8551128832] | speaker_diarizer.py:163 | Extracted 0 embeddings from 5.00s audio
2025-06-16 09:59:12.771 | WARNING | whisper | [MainProcess-75894] | [MainThread-8551128832] | speaker_diarizer.py:103 | No valid embeddings extracted, returning single speaker
2025-06-16 09:59:12.771 | INFO | whisper | [MainProcess-75894] | [MainThread-8551128832] | audio_chunker.py:48 | Starting audio chunking for: /var/folders/72/45lz0wwd4kxdwq5yc1m8r11h0000gn/T/tmpt85ba0sk.wav
2025-06-16 09:59:12.772 | INFO | whisper | [MainProcess-75894] | [MainThread-8551128832] | audio_chunker.py:55 | Audio info: duration=5.00s, size=0.42MB
2025-06-16 09:59:12.772 | INFO | whisper | [MainProcess-75894] | [MainThread-8551128832] | audio_chunker.py:59 | File size (0.42MB) <= 24.0MB, processing as whole file
2025-06-16 09:59:12.772 | INFO | whisper | [MainProcess-75894] | [MainThread-8551128832] | audio_chunker.py:89 | Created whole file chunk: chunk_whole_af6c0d55 (5.00s)
